2026-07-18 21:27:34 | INFO     | utils.file_utils | Saved upload 'LinkedIn with Claude.pdf' (235073 bytes) to F:\GITHUB REPOS\AI Project Repo\RAGs\DocuMind-AI\data\uploads\LinkedIn with Claude.pdf
2026-07-18 21:27:34 | INFO     | core.text_processor | Extracted 5 non-empty page(s) from 'LinkedIn with Claude.pdf'
2026-07-18 21:27:34 | INFO     | core.text_processor | Split 'LinkedIn with Claude.pdf' into 9 chunk(s)
2026-07-18 21:27:37 | INFO     | core.vector_store | Added 9 chunk(s) to the vector store
2026-07-18 21:27:37 | INFO     | utils.file_utils | Saved upload 'Admission Form BE.pdf' (437693 bytes) to F:\GITHUB REPOS\AI Project Repo\RAGs\DocuMind-AI\data\uploads\Admission Form BE.pdf
2026-07-18 21:27:37 | INFO     | core.text_processor | Extracted 0 non-empty page(s) from 'Admission Form BE.pdf'
2026-07-18 21:27:37 | WARNING  | core.text_processor | No extractable text found in 'Admission Form BE.pdf'
2026-07-18 21:28:05 | WARNING  | core.embeddings | Fast embedding backend unavailable (No module named 'sentence_transformers'); falling back to Ollama. Install 'sentence-transformers' and 'torch' for much faster bulk ingestion.
2026-07-18 21:32:21 | INFO     | core.vector_store | Deleted 29 chunk(s) for source 'Darshan_Patil_Interview_Prep_SubVerseAI (1).pdf'
2026-07-18 21:32:21 | INFO     | utils.file_utils | Deleted uploaded file 'Darshan_Patil_Interview_Prep_SubVerseAI (1).pdf'
2026-07-18 21:32:21 | INFO     | services.document_service | Removed document 'Darshan_Patil_Interview_Prep_SubVerseAI (1).pdf' (29 chunks)
2026-07-18 21:32:21 | INFO     | core.vector_store | Deleted 29 chunk(s) for source 'Darshan_Patil_Interview_Prep_SubVerseAI.pdf'
2026-07-18 21:32:21 | INFO     | utils.file_utils | Deleted uploaded file 'Darshan_Patil_Interview_Prep_SubVerseAI.pdf'
2026-07-18 21:32:21 | INFO     | services.document_service | Removed document 'Darshan_Patil_Interview_Prep_SubVerseAI.pdf' (29 chunks)
2026-07-18 21:32:22 | INFO     | core.vector_store | Deleted 9 chunk(s) for source 'LinkedIn with Claude.pdf'
2026-07-18 21:32:22 | INFO     | utils.file_utils | Deleted uploaded file 'LinkedIn with Claude.pdf'
2026-07-18 21:32:22 | INFO     | services.document_service | Removed document 'LinkedIn with Claude.pdf' (9 chunks)
2026-07-18 21:32:23 | INFO     | core.vector_store | Deleted 4 chunk(s) for source 'Offer_Letter_631417_1498925.pdf'
2026-07-18 21:32:23 | INFO     | utils.file_utils | Deleted uploaded file 'Offer_Letter_631417_1498925.pdf'
2026-07-18 21:32:23 | INFO     | services.document_service | Removed document 'Offer_Letter_631417_1498925.pdf' (4 chunks)
2026-07-18 21:32:24 | INFO     | core.vector_store | Deleted 21 chunk(s) for source 'PYTHON QUESTION BANK (BASIC TO OOPS).pdf'
2026-07-18 21:32:24 | INFO     | utils.file_utils | Deleted uploaded file 'PYTHON QUESTION BANK (BASIC TO OOPS).pdf'
2026-07-18 21:32:24 | INFO     | services.document_service | Removed document 'PYTHON QUESTION BANK (BASIC TO OOPS).pdf' (21 chunks)
2026-07-18 21:32:24 | INFO     | core.vector_store | Deleted 4 chunk(s) for source 'Profile (1).pdf'
2026-07-18 21:32:24 | INFO     | utils.file_utils | Deleted uploaded file 'Profile (1).pdf'
2026-07-18 21:32:24 | INFO     | services.document_service | Removed document 'Profile (1).pdf' (4 chunks)
2026-07-18 21:32:25 | INFO     | core.vector_store | Deleted 76 chunk(s) for source 'Python_Question_Bank_with_Answers.pdf'
2026-07-18 21:32:25 | INFO     | utils.file_utils | Deleted uploaded file 'Python_Question_Bank_with_Answers.pdf'
2026-07-18 21:32:25 | INFO     | services.document_service | Removed document 'Python_Question_Bank_with_Answers.pdf' (76 chunks)
2026-07-18 21:32:25 | INFO     | core.vector_store | Deleted 25 chunk(s) for source 'SubVerse_AI_Interview_QnA.pdf'
2026-07-18 21:32:25 | INFO     | utils.file_utils | Deleted uploaded file 'SubVerse_AI_Interview_QnA.pdf'
